rial_reward,dqn_reward,collisions,distance,winner,rial_smooth,dqn_smooth
-48.18711958858122,-96.37423917716244,0.0,2.1199403,rial,,
-44.12586489282596,-88.25172978565193,1.0,1.5893807,rial,,
-32.4498626058088,-64.8997252116176,0.0,2.3560572,rial,,
-60.83948478997011,-121.67896957994023,0.0,1.9828151,rial,,
-69.11286627627585,-139.22573255255168,0.0,2.269343,rial,,
-38.828333344033155,-77.65666668806632,4.0,2.2161422,rial,,
-44.84794554491783,-89.19589108983563,3.0,2.1081243,rial,,
-46.81264420501853,-93.62528841003706,0.0,2.3730552,rial,,
-49.72386615565667,-99.44773231131333,0.0,2.3812215,rial,,
-46.00583050786179,-92.01166101572359,0.0,1.5974021,rial,-46.30225004428691,-92.69783342190715
-26.124909428750364,-52.24981885750075,2.0,2.3007874,rial,-46.14128908428496,-92.37591150190326
-32.51886599199237,-65.03773198398476,0.0,1.5635017,rial,-45.62057859985224,-91.33449053303781
-30.668901206950363,-60.83780241390074,0.0,1.9919136,rial,-45.420829210965245,-90.92832508859716
-48.66273802578822,-97.32547605157643,0.0,2.4980693,rial,-45.412334615280365,-90.9113358972274
-33.705310410797765,-67.41062082159556,0.0,2.3234959,rial,-45.39649086646408,-90.87964839959483
-25.03427655503045,-50.068553110060904,0.0,1.8556015,rial,-45.106547809480446,-90.29976228562757
-47.9502036366394,-95.40040727327879,0.0,1.6585547,rial,-45.14351390702175,-90.34036114737683
-55.47702209356059,-110.95404418712116,1.0,2.309705,rial,-45.363924719284945,-90.78118277190322
-53.83904375240361,-106.67808750480722,0.0,2.6538541,rial,-45.48559493867571,-91.03118987735141
-74.72550733126306,-150.45101466252606,0.0,2.8665042,rial,-45.831441639445714,-91.75621661222476
-50.53636629424955,-101.0727325884991,2.0,1.9969598,rial,-45.80267056258621,-91.69867445850575
-37.5745368413018,-76.1490736826036,2.0,1.6405257,rial,-45.87570672623382,-91.84474678580098
-47.82267300615831,-95.64534601231662,1.0,2.1227539,rial,-45.93929287873901,-91.97191909081135
-59.40093333583687,-118.30186667167376,7.0,2.342792,rial,-46.26921123017545,-92.62508912701757
-41.60155781009899,-82.70311562019796,0.0,2.22425,rial,-46.166001965731354,-92.4120039314627
-76.49503213628402,-155.99006427256802,14.0,1.643451,rial,-46.77135652408618,-93.66271304817236
-36.68775460828418,-73.37550921656836,0.0,2.1747298,rial,-46.683894108226895,-93.48778821645378
-53.15972870982426,-105.81945741964854,0.0,2.3167067,rial,-47.00905316860704,-94.13143967054741
-53.6226465411292,-105.74529308225841,0.0,2.0798435,rial,-47.228125992351195,-94.54958531803572
-59.45572173906821,-119.91144347813639,10.0,2.2812726,rial,-47.43551486121535,-94.9510297224307
-34.36905873086614,-70.7381174617323,0.0,2.1709104,rial,-47.353112027188565,-94.81289072104379
-46.99038737454407,-93.98077474908811,0.0,2.4608588,rial,-47.475906254470395,-95.05847917560746
-64.02189157960115,-129.0437831592023,8.0,2.289036,rial,-47.55618456362209,-95.23903579391084
-41.449528323669504,-82.89905664733902,1.0,2.117338,rial,-47.488477300793114,-95.1036212682529
-46.100056996441594,-92.20011399288319,0.0,2.45547,rial,-47.637741382107635,-95.36214943088193
-50.040036677528946,-100.08007335505789,0.0,1.5691601,rial,-47.67090824300317,-95.42848315267301
-58.881903076377434,-117.7638061527548,0.0,2.3073723,rial,-47.76679934080173,-95.62026534827012
-52.81424236866144,-102.62848473732282,0.0,2.5212886,rial,-47.65104039691575,-95.30874746049817
-29.963498971702325,-59.92699794340466,0.0,2.5823126,rial,-47.33243222370871,-94.67153111408409
-52.967009581461966,-105.9340191629239,0.0,2.1801498,rial,-47.44334727552182,-94.90002788437698
